ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
10,1,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3468,4748,4.634e+06,34.77,3.7053874,1.26e+08,1.26e+07,25,0.8,67.21,3.043,154.7,65.89,163.2,93.01,1.521e+05,5286,1507,151.5,7.686e+07,1.319e+08,6.771,3.967
11,1,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3468,4748,4.787e+06,34.77,3.7053874,1.302e+08,1.302e+07,25,0.8,67.27,3.057,150.4,64.51,159.2,76.48,1.59e+05,5585,1636,164.3,8.57e+07,1.241e+08,6.407,3.198
12,1,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3467,4745,4.191e+06,34.76,3.7053874,1.14e+08,1.14e+07,25,0.8,67.04,3.059,152.1,66.49,162.5,58.23,1.388e+05,517,1374,137.7,6.998e+07,7.582e+07,7.42,2.842
13,1,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3468,4748,5.361e+06,34.77,3.7053874,1.458e+08,1.458e+07,25,0.8,122.2,8.128,151.7,125.2,223.3,49.8,1.732e+05,6263,931,93.15,1.147e+08,7.907e+07,26.47,7.368
14,2,658,1651,15,12h01m54.4021s -18d53m11.5926s,1,,,1.094e+04,11.15,1.8903037,3.138e+05,3.138e+04,26.36363636,0.8,14.89,1.068,8.488,6.407,nan,1.911,889.7,152.3,nan,nan,nan,nan,nan,nan
15,1,759,1668,13,12h01m54.3853s -18d53m11.6206s,1,1097,3527,2.853e+05,30.5,5.1022654,8.184e+06,8.184e+05,26.36363636,0.8,16.96,1.059,21.93,17.59,26.63,5.149,8335,654,3674,376,7.313e+07,4.401e+07,1.084,0.2721
16,2,759,1668,13,12h01m54.3853s -18d53m11.6206s,1,1009,3197,1.582e+05,29.24,5.1022654,4.537e+06,4.537e+05,26.36363636,0.8,15.01,0.5319,16.5,15.68,19.32,5.605,392,340.5,387,424.5,8.319e+07,7.312e+07,1.112,0.3501
17,1,656,1696,16,12h01m54.3577s -18d53m11.5786s,1,1416,5342,2.192e+05,36.67,3.7518294,6.288e+06,6.288e+05,26.36363636,0.8,33.15,2.059,15.23,33.11,31.98,17.63,3938,391.2,1957,220.4,1.239e+08,2.059e+08,6.474,3.716
18,2,656,1696,16,12h01m54.3577s -18d53m11.5786s,1,1123,4546,1.796e+05,34.1,3.7518294,5.152e+06,5.152e+05,26.36363636,0.8,22.31,0.9965,14.53,31,29.66,14.94,3342,358.4,1864,209.2,5.761e+07,8.741e+07,3.317,1.73
19,1,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3468,4748,4.649e+06,34.77,3.7053874,1.264e+08,1.264e+07,25,0.8,67.21,3.043,154.6,66.08,163.4,92.75,1.53e+05,5322,1508,151.6,7.681e+07,1.312e+08,6.759,3.944
20,1,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3409,4685,3.886e+06,34.57,3.7053874,1.057e+08,1.057e+07,25,0.8,66.24,3.138,149.9,68.79,164.1,56.69,1.268e+05,476,1249,125.1,6.149e+07,6.427e+07,7.891,2.934
21,2,1277,1481,11,12h01m54.5698s -18d53m11.6486s,2,,,5514,11.15,1.350509,1.5e+05,1.5e+04,25,0.8,13.23,0.8044,12.72,5.189,nan,8.06,651.1,140.4,nan,nan,nan,nan,nan,nan
