ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex
73,2,1130,1456,30,12h01m54.5944s -18d53m11.382s,2,697,125,1.34E+05,62.51,11.476861,1.40E+05,1.40E+04,0.9615384615,0.8,7.082,0.3201,13.47,10.69,8.386,3.481,1554,244.9,634,113.5,6.99E+06,8.75E+06,3.477,1.518,1.31E+05,14.64
74,2,1338,1463,30,12h01m54.5875s -18d53m11.382s,2,1189,2422,3.52E+05,86.34,18.056362,3.68E+05,3.68E+04,0.9615384615,0.8,12.13,0.5362,15.68,25.27,27.14,7.572,2651,337.5,159,16.64,1.59E+06,1.35E+06,12.58,3.89,5.55E+05,18.19
75,1,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,2.95E+04,1.92E+05,2.93E+07,761.5,34.64527,3.01E+07,3.01E+06,0.9433962264,0.8,70.44,3.632,67.94,106.8,137.4,52.97,6.57E+04,2485,507.6,50.94,3.38E+07,3.94E+07,26.23,10.79,5.50E+07,18.9
76,0,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,4.00E+04,2.42E+05,3.44E+07,855.4,34.64527,3.53E+07,3.53E+06,0.9433962264,0.8,71.47,4.026,66.19,105.3,134.6,49.16,8.92E+04,3661,620.1,62.21,4.34E+07,4.80E+07,22.57,8.918,6.15E+07,17.88
77,1,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,2.72E+04,1.60E+05,2.53E+07,696.1,34.64527,2.60E+07,2.60E+06,0.9433962264,0.8,64.74,3.279,69.11,95.54,130.9,43.12,6.06E+04,2431,482.8,48.42,2.85E+07,2.84E+07,24.45,8.772,5.00E+07,19.37
78,1,1459,621,36,12h01m55.4181s -18d53m11.2979s,345,5376,1.32E+04,1.51E+06,2,24.88165,1.55E+06,1.55E+05,0.9433962264,0.8,17.13,0.8003,11.95,17.85,15.91,6.891,1.20E+04,1102,1952,252,6.63E+07,8.66E+07,3.481,1.581,3.22E+06,15.35
79,2,1459,621,36,12h01m55.4181s -18d53m11.2979s,345,4116,1.03E+04,1.25E+06,177.1,24.88165,1.28E+06,1.28E+05,0.9433962264,0.8,17.14,0.8037,11.56,17.59,15.07,6.688,9178,875,1793,239.2,6.44E+07,8.62E+07,4.009,1.862,2.65E+06,15.9
80,0,1459,621,36,12h01m55.4181s -18d53m11.2979s,345,6365,1.46E+04,1.64E+06,210.3,24.88165,1.69E+06,1.69E+05,0.9433962264,0.8,17.13,0.81,11.95,17.85,15.91,6.891,1.42E+04,1389,212,273.7,7.21E+07,9.41E+07,3.208,1.458,3.40E+06,15.16
81,1,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,4841,4.31E+04,7.08E+06,361.2,28.44041,7.41E+06,7.41E+05,0.9615384615,0.8,78.02,3.8,18.79,30.42,34.65,3.745,1.39E+04,845.2,1964,197.2,6.36E+08,2.24E+08,32.98,5.823,6.77E+06,13.6
82,2,1378,1401,36,12h01m54.6487s -18d53m11.298s,2,1437,4344,5.19E+05,115.2,12.771422,5.43E+05,5.43E+04,0.9615384615,0.8,15.33,0.6424,20.03,32.31,37.41,15.65,3815,382.3,123.5,13.03,1.43E+06,1.80E+06,18.74,8.212,6.71E+05,13.19
83,1,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,2.23E+04,1.15E+05,2.00E+07,590.6,34.64527,2.05E+07,2.05E+06,0.9433962264,0.8,44.03,1.853,71.12,97.17,134,43.43,4.98E+04,2386,363.7,36.46,9.69E+06,9.51E+06,14.67,5.127,4.25E+07,20.77
84,1,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,1.80E+04,8.27E+04,1.57E+07,500.5,34.64527,1.61E+07,1.61E+06,0.9433962264,0.8,31.44,1.198,78.56,42.68,92.47,30.56,4.02E+04,2323,600.3,60.37,1.18E+07,1.18E+07,6.566,2.322,3.61E+07,22.29
