ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
145,1,1155,835,52,345,0,0,3.406e+05,11.15,1.885,8.857e+06,8.857e+05,25,0.8,50.16,2.483,25.59,83.82,73.19,38.63,2.347e+04,1445,526.3,53.85,3.332e+07,5.298e+07,24.08,13.15
146,1,1178,901,39,345,0,0,5.454e+04,11.15,1.778,1.418e+06,1.418e+05,25,0.8,13.12,0.5589,37.8,28.1,49.96,14.63,7478,710.8,180.8,18.36,1.147e+06,1.019e+06,7.021,2.254
147,1,1155,835,52,345,0,0,3.178e+05,11.15,1.885,8.263e+06,8.263e+05,25,0.8,50.1,2.483,25.64,80.73,71.83,32.7,2.281e+04,1472,509.7,51.88,3.281e+07,4.505e+07,25.27,12.04
148,2,1106,951,38,345,476,628,8.935e+04,16.36,3.856,2.323e+06,2.323e+05,25,0.8,8.662,0.2115,40.58,13.85,34.27,25.01,4170,394.2,629.6,74.72,2.54e+06,5.567e+06,1.282,0.9464
149,1,1106,951,38,345,477,631,1.561e+05,16.38,3.856,4.06e+06,4.06e+05,25,0.8,10.29,0.3754,40.34,27.54,51.24,16.02,1.066e+04,1006,492.3,50.05,1.874e+06,1.773e+06,1.547,0.5205
150,1,606,1719,44,1,1199,1758,5.169e+05,22.93,3.479,1.417e+07,1.417e+06,26.36,0.8,19.46,0.7347,30.54,75.65,76.12,46.64,2.196e+04,1693,778.6,80.09,7.136e+06,1.315e+07,2.356,1.473
151,1,606,1719,44,1,1118,1647,4.335e+05,22.37,3.479,1.189e+07,1.189e+06,26.36,0.8,18.51,0.8244,29.18,76.83,74.92,47.44,1.881e+04,1625,674.1,69.55,5.681e+06,1.082e+07,2.502,1.619
152,2,1531,705,39,345,0,0,1.797e+04,11.15,2.381,3.173e+05,3.173e+04,16.98,0.8,9.619,0.3419,36.29,17.9,37.5,18.76,3106,433,71.82,7.735,3.264e+05,4.915e+05,12.67,6.523
153,2,1221,862,40,345,0,0,7358,11.15,1.177,1.913e+05,1.913e+04,25,0.8,4.08,0.3111,36.67,9.404,24.52,31.42,2100,364.3,101.3,18.84,1.267e+05,4.878e+05,2.471,3.199
154,2,1178,901,39,345,0,0,2.336e+04,11.15,1.778,6.073e+05,6.073e+04,25,0.8,7.353,0.2814,11.13,21,17.53,16.09,3728,439,629.1,117.1,3.574e+06,9.851e+06,1.808,1.675
155,2,1120,976,38,345,0,0,6.628e+04,11.15,2.319,1.723e+06,1.723e+05,25,0.8,9.56,0.3721,31.65,19.77,36.64,18.35,6453,612.2,408.5,44.15,1.877e+06,2.83e+06,2.251,1.163
