ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1380,-57.7,3.4,7,20,14,6.9,3.3,180000,120000,990000,1410000,856980,1.29,25,0.4,SA,0
1381,-53.4,6,13.5,62,41,6.4,4.4,780000,930000,2630000,4530000,3779977.846,0.78,176,0.7,SA,0
1382,-56.6,7.5,15.8,73,20,8.2,3.2,1500000,440000,5060000,3830000,7401028.208,0.77,151,0.7,SA,0
1383,-56.2,4.2,9.1,90,38,5.8,1.6,700000,230000,3200000,2130000,3347660.571,1.05,15,0.3,SA,0
1384,-49.9,3.3,7.1,35,27,5.4,5,170000,240000,1040000,2130000,846369,1.4,4,0.8,SA,0
1385,-49.5,2,4.2,25,29,5,3.7,140000,120000,660000,1330000,653716.2162,1.11,166,0.6,SA,0
1386,-45.2,2.3,5,32,0,7.3,8.7,200000,170000,1770000,4210000,984990.0896,2.01,128,0.4,SA,1
1387,-48.1,3,6.5,51,17,10,3.5,210000,210000,5260000,4720000,1031550.523,5.74,65,0.9,SA,0
1388,-41,2.6,6.2,32,0,6.7,2.8,120000,50000,1470000,1220000,595626.1714,2.8,52,0.3,SA,1
1389,-32.5,1.6,3.9,32,0,6.3,3.4,70000,50000,1320000,1410000,364089.6,4.05,165,0.5,IA,1
1390,-91.6,2.5,5.1,32,0,6.3,4.9,50000,40000,1320000,2030000,222407.6742,6.63,174,0.8,IA,1
1391,-80.2,5.2,9.1,27,5,5.4,2.5,280000,60000,820000,750000,1344233.118,0.68,5,0.4,IA,0
1392,-96.1,5.5,5.1,32,0,4.4,2.2,140000,30000,630000,640000,672208.1495,1.07,166,0.6,IA,1
1393,-81.6,4.5,6.3,30,8,4.1,1.4,180000,40000,530000,520000,873869.1045,0.67,40,0.7,IA,0
1394,-66.4,5.3,7,35,16,4.7,2.8,200000,60000,810000,1070000,954922.5,0.94,130,0.5,IA,0
1395,-68.2,5.7,7.2,32,0,4.1,7.3,140000,200000,570000,1980000,686291.3407,0.91,76,0.5,IA,1
1396,-67.9,6.4,6.4,30,21,4.8,5.2,120000,180000,720000,1480000,607941.8182,1.32,114,0.6,IA,0
1397,-60.4,3.1,6.2,47,12,3.8,1.5,190000,30000,710000,590000,926997.0353,0.85,157,0.4,IA,0
1398,-111.1,1.8,5,40,13,6.1,2.5,100000,30000,1530000,1660000,512769.2582,3.37,17,0.4,IA,0
1399,-83.5,2.3,5.7,42,23,5.1,3.7,240000,70000,1170000,1830000,1122389.044,1.13,163,0.4,SA,0
1400,-79.9,2.2,5.6,22,34,2.2,2.3,40000,90000,110000,360000,213143.5862,0.58,3,0.8,SA,0
